iter	Passed	Remaining
428	1702	2266
429	1706	2261
430	1709	2257
431	1713	2252
432	1716	2248
433	1720	2243
434	1724	2239
435	1727	2234
436	1731	2230
437	1734	2225
438	1738	2221
439	1742	2217
440	1746	2213
441	1749	2209
442	1753	2204
443	1757	2200
444	1760	2196
445	1764	2191
446	1768	2187
447	1771	2182
448	1775	2178
449	1778	2173
450	1781	2169
451	1785	2164
452	1788	2159
453	1792	2155
454	1795	2151
455	1799	2146
456	1803	2142
457	1806	2137
458	1810	2133
459	1813	2128
460	1816	2124
461	1820	2120
462	1823	2115
463	1827	2110
464	1830	2106
465	1843	2112
466	1847	2108
467	1851	2105
468	1856	2102
469	1863	2101
470	1870	2100
471	1877	2100
472	1884	2099
473	1888	2096
474	1894	2093
475	1900	2092
476	1908	2092
477	1915	2091
478	1920	2089
479	1924	2085
480	1928	2080
481	1931	2076
482	1939	2076
483	1944	2073
484	1948	2069
485	1958	2071
486	1962	2066
487	1966	2062
488	1970	2059
489	1974	2055
490	1982	2055
491	1986	2051
492	1991	2047
493	1996	2044
494	2000	2040
495	2005	2038
496	2010	2034
497	2014	2030
498	2021	2029
499	2029	2029
500	2033	2025
501	2037	2021
502	2045	2020
503	2049	2016
504	2057	2016
505	2061	2012
506	2066	2009
507	2070	2005
508	2074	2000
509	2077	1996
510	2083	1994
511	2087	1989
512	2091	1985
513	2095	1981
514	2098	1976
515	2102	1972
516	2106	1967
517	2109	1962
518	2112	1958
519	2117	1954
520	2120	1949
521	2126	1947
522	2130	1942
523	2135	1939
524	2139	1935
525	2143	1931
526	2147	1927
527	2152	1924
528	2156	1920
529	2162	1917
530	2165	1913
531	2170	1909
532	2175	1905
533	2179	1902
534	2184	1898
535	2188	1894
536	2192	1890
537	2196	1886
538	2200	1881
539	2204	1878
540	2209	1874
541	2213	1870
542	2217	1865
543	2220	1861
544	2224	1856
545	2227	1852
546	2230	1847
547	2234	1842
548	2237	1838
549	2241	1833
550	2244	1829
551	2248	1824
552	2252	1820
553	2255	1815
554	2259	1811
555	2262	1806
556	2266	1802
557	2269	1797
558	2273	1793
559	2277	1789
560	2280	1784
561	2284	1780
562	2287	1775
563	2291	1771
564	2294	1766
565	2298	1762
566	2301	1757
567	2305	1753
568	2308	1748
569	2312	1744
570	2316	1740
571	2319	1735
572	2323	1731
573	2327	1727
574	2331	1723
575	2335	1719
576	2339	1714
577	2343	1711
578	2347	1706
579	2350	1702
580	2354	1698
581	2358	1693
582	2361	1689
583	2365	1685
584	2369	1680
585	2373	1676
586	2376	1672
587	2380	1667
588	2383	1663
589	2387	1659
590	2390	1654
591	2394	1650
592	2397	1645
593	2400	1640
594	2404	1636
595	2407	1632
596	2411	1627
597	2414	1623
598	2419	1620
599	2423	1615
600	2428	1612
601	2431	1607
602	2435	1603
603	2438	1598
604	2441	1594
605	2445	1590
606	2449	1585
607	2452	1581
608	2456	1577
609	2460	1572
610	2463	1568
611	2466	1564
612	2470	1559
613	2473	1555
614	2477	1550
615	2480	1546
616	2484	1542
617	2488	1537
618	2491	1533
619	2495	1529
620	2498	1524
621	2502	1520
622	2505	1516
623	2509	1511
624	2512	1507
625	2516	1503
626	2519	1498
627	2523	1494
628	2526	1490
629	2530	1485
630	2533	1481
631	2537	1477
632	2540	1473
633	2544	1468
634	2547	1464
635	2551	1460
636	2554	1455
637	2558	1451
638	2562	1447
639	2565	1442
640	2568	1438
641	2572	1434
642	2575	1430
643	2579	1425
644	2582	1421
645	2586	1417
646	2589	1412
647	2593	1408
648	2596	1404
649	2600	1400
650	2604	1396
651	2607	1391
652	2611	1387
653	2614	1383
654	2618	1379
655	2622	1375
656	2625	1370
657	2629	1366
658	2632	1362
659	2636	1358
660	2640	1354
661	2644	1350
662	2648	1346
663	2651	1341
664	2655	1337
665	2659	1333
666	2662	1329
667	2666	1325
668	2669	1320
669	2673	1316
670	2676	1312
671	2681	1308
672	2684	1304
673	2688	1300
674	2692	1296
675	2695	1292
676	2699	1287
677	2703	1283
678	2706	1279
679	2710	1275
680	2714	1271
681	2717	1267
682	2721	1262
683	2724	1258
684	2727	1254
685	2731	1250
686	2735	1246
687	2739	1242
688	2743	1238
689	2746	1234
690	2750	1229
691	2753	1225
692	2757	1221
693	2761	1217
694	2764	1213
695	2768	1209
696	2771	1204
697	2775	1200
698	2778	1196
699	2782	1192
700	2785	1188
701	2789	1184
702	2793	1179
703	2796	1175
704	2799	1171
705	2803	1167
706	2807	1163
707	2810	1159
708	2814	1155
709	2817	1150
710	2821	1146
711	2825	1142
712	2829	1138
713	2832	1134
714	2836	1130
715	2840	1126
716	2843	1122
717	2847	1118
718	2850	1114
719	2854	1109
720	2857	1105
721	2861	1101
722	2865	1097
723	2868	1093
724	2872	1089
725	2875	1085
726	2879	1081
727	2882	1077
728	2886	1072
729	2889	1068
730	2893	1064
731	2896	1060
732	2900	1056
733	2903	1052
734	2907	1048
735	2910	1044
736	2914	1039
737	2917	1035
738	2920	1031
739	2924	1027
740	2930	1024
741	2933	1020
742	2939	1016
743	2943	1012
744	2946	1008
745	2950	1004
746	2954	1000
747	2957	996
748	2961	992
749	2964	988
750	2968	984
751	2971	980
752	2975	975
753	2978	971
754	2982	967
755	2988	964
756	2998	962
757	3001	958
758	3005	954
759	3008	950
760	3013	946
761	3017	942
762	3023	939
763	3029	935
764	3037	933
765	3041	929
766	3044	924
767	3048	920
768	3051	916
769	3055	912
770	3060	909
771	3064	904
772	3067	900
773	3071	896
774	3074	892
775	3078	888
776	3081	884
777	3085	880
778	3088	876
779	3092	872
780	3096	868
781	3099	864
782	3103	860
783	3106	855
784	3110	851
785	3113	847
786	3117	843
787	3120	839
788	3124	835
789	3128	831
790	3131	827
791	3135	823
792	3138	819
793	3142	815
794	3145	811
795	3149	807
796	3153	803
797	3156	799
798	3160	795
799	3165	791
800	3169	787
801	3173	783
802	3178	779
803	3181	775
804	3185	771
805	3189	767
806	3193	763
807	3197	759
808	3201	755
809	3205	751
810	3209	747
811	3213	743
812	3216	739
813	3220	735
814	3223	731
815	3227	727
816	3231	723
817	3234	719
818	3238	715
819	3241	711
820	3245	707
821	3248	703
822	3252	699
823	3256	695
824	3260	691
825	3263	687
826	3267	683
827	3270	679
828	3274	675
829	3277	671
830	3281	667
831	3284	663
832	3288	659
833	3292	655
834	3295	651
835	3299	647
836	3302	643
837	3306	639
838	3309	635
839	3313	631
840	3317	627
841	3320	623
842	3324	619
843	3328	615
844	3331	611
845	3335	607
846	3339	603
847	3342	599
848	3345	595
849	3349	591
850	3352	587
851	3356	583
852	3359	579
853	3363	575
854	3367	571
855	3370	567
856	3374	563
857	3377	559
858	3382	555
859	3386	551
860	3389	547
861	3393	543
862	3397	539
863	3400	535
864	3404	531
865	3407	527
866	3411	523
867	3414	519
868	3418	515
869	3422	511
870	3425	507
871	3429	503
872	3432	499
873	3436	495
874	3439	491
875	3443	487
876	3446	483
877	3450	479
878	3454	475
879	3457	471
880	3461	467
881	3464	463
882	3467	459
883	3470	455
884	3474	451
885	3477	447
886	3480	443
887	3484	439
888	3487	435
889	3491	431
890	3494	427
891	3497	423
892	3501	419
893	3504	415
894	3508	411
895	3511	407
896	3515	403
897	3518	399
898	3522	395
899	3526	391
900	3529	387
901	3533	383
902	3536	379
903	3540	375
904	3543	371
905	3547	368
906	3550	364
907	3554	360
908	3557	356
909	3561	352
910	3564	348
911	3568	344
912	3571	340
913	3574	336
914	3578	332
915	3581	328
916	3584	324
917	3588	320
918	3591	316
919	3594	312
920	3598	308
921	3601	304
922	3608	301
923	3615	297
924	3626	294
925	3634	290
926	3641	286
927	3652	283
928	3656	279
929	3661	275
930	3668	271
931	3673	268
932	3677	264
933	3681	260
934	3684	256
935	3688	252
936	3691	248
937	3695	244
938	3699	240
939	3702	236
940	3706	232
941	3709	228
942	3713	224
943	3716	220
944	3720	216
945	3723	212
946	3727	208
947	3730	204
948	3734	200
949	3737	196
950	3741	192
951	3744	188
952	3748	184
953	3752	180
954	3755	176
955	3759	173
956	3762	169
957	3766	165
958	3769	161
959	3773	157
960	3776	153
961	3780	149
962	3783	145
963	3787	141
964	3790	137
965	3793	133
966	3797	129
967	3800	125
968	3804	121
969	3807	117
970	3811	113
971	3814	109
972	3818	105
973	3821	102
974	3825	98
975	3828	94
976	3832	90
977	3835	86
978	3839	82
979	3842	78
980	3846	74
981	3849	70
982	3852	66
983	3856	62
984	3859	58
985	3863	54
986	3866	50
987	3870	47
988	3874	43
989	3877	39
990	3881	35
991	3884	31
992	3888	27
993	3891	23
994	3895	19
995	3898	15
996	3902	11
997	3905	7
998	3912	3
999	3915	0
